Date,CHINAA-CON
2022-07-18 00:00:00+00:00,
2022-07-19 00:00:00+00:00,-0.02307591
2022-07-20 00:00:00+00:00,-0.00580892
2022-07-21 00:00:00+00:00,-0.02507702
2022-07-22 00:00:00+00:00,0.01199696
2022-07-25 00:00:00+00:00,-0.00888021
2022-07-26 00:00:00+00:00,0.01163925
2022-07-27 00:00:00+00:00,-0.01356132
2022-07-28 00:00:00+00:00,-0.00420416
2022-07-29 00:00:00+00:00,-0.02635521
2022-08-01 00:00:00+00:00,0.01114387
2022-08-02 00:00:00+00:00,-0.03549440
2022-08-03 00:00:00+00:00,-0.02659943
2022-08-04 00:00:00+00:00,0.01811079
2022-08-05 00:00:00+00:00,0.01768410
2022-08-08 00:00:00+00:00,-0.00904674
2022-08-09 00:00:00+00:00,0.00503521
2022-08-10 00:00:00+00:00,-0.02375884
2022-08-11 00:00:00+00:00,0.04444055
2022-08-12 00:00:00+00:00,0.00967926
2022-08-15 00:00:00+00:00,-0.00220498
2022-08-16 00:00:00+00:00,-0.00169796
2022-08-17 00:00:00+00:00,0.01093910
2022-08-18 00:00:00+00:00,-0.01138884
2022-08-19 00:00:00+00:00,-0.00784641
2022-08-22 00:00:00+00:00,0.00439929
2022-08-23 00:00:00+00:00,0.00172257
2022-08-24 00:00:00+00:00,-0.04220789
2022-08-25 00:00:00+00:00,0.02627005
2022-08-26 00:00:00+00:00,-0.00499319
2022-08-29 00:00:00+00:00,-0.01927412
2022-08-30 00:00:00+00:00,-0.00671425
2022-08-31 00:00:00+00:00,0.00008873
2022-09-01 00:00:00+00:00,-0.01451877
2022-09-02 00:00:00+00:00,-0.01894356
2022-09-05 00:00:00+00:00,-0.00221974
2022-09-06 00:00:00+00:00,0.01032932
2022-09-07 00:00:00+00:00,0.00779285
2022-09-08 00:00:00+00:00,-0.01279302
2022-09-09 00:00:00+00:00,0.03586913
2022-09-12 00:00:00+00:00,-0.00985479
2022-09-13 00:00:00+00:00,0.01515568
2022-09-14 00:00:00+00:00,-0.03159148
2022-09-15 00:00:00+00:00,-0.01193911
2022-09-16 00:00:00+00:00,-0.02209549
2022-09-19 00:00:00+00:00,0.00320620
2022-09-20 00:00:00+00:00,-0.02553064
2022-09-21 00:00:00+00:00,-0.02427828
2022-09-22 00:00:00+00:00,-0.00828622
2022-09-23 00:00:00+00:00,-0.00841097
2022-09-26 00:00:00+00:00,0.00426760
2022-09-27 00:00:00+00:00,0.02193541
2022-09-28 00:00:00+00:00,-0.03041850
2022-09-29 00:00:00+00:00,0.01022465
2022-09-30 00:00:00+00:00,0.00055124
2022-10-03 00:00:00+00:00,-0.03037591
2022-10-04 00:00:00+00:00,0.03736186
2022-10-05 00:00:00+00:00,0.06425614
2022-10-06 00:00:00+00:00,-0.01403378
2022-10-07 00:00:00+00:00,-0.02015451
2022-10-10 00:00:00+00:00,-0.09239668
2022-10-11 00:00:00+00:00,0.00989748
2022-10-12 00:00:00+00:00,0.01609194
2022-10-13 00:00:00+00:00,-0.01316688
2022-10-14 00:00:00+00:00,0.05690730
2022-10-17 00:00:00+00:00,-0.00415469
2022-10-18 00:00:00+00:00,-0.00029386
2022-10-19 00:00:00+00:00,-0.04079873
2022-10-20 00:00:00+00:00,-0.02375754
2022-10-21 00:00:00+00:00,-0.00373926
2022-10-24 00:00:00+00:00,-0.07698123
2022-10-25 00:00:00+00:00,0.01428387
2022-10-26 00:00:00+00:00,0.00796693
2022-10-27 00:00:00+00:00,-0.02839472
2022-10-28 00:00:00+00:00,-0.04632012
2022-10-31 00:00:00+00:00,-0.03254821
2022-11-01 00:00:00+00:00,0.07559106
2022-11-02 00:00:00+00:00,0.05297847
2022-11-03 00:00:00+00:00,-0.04047038
2022-11-04 00:00:00+00:00,0.07767348
2022-11-07 00:00:00+00:00,0.01430722
2022-11-08 00:00:00+00:00,-0.01500767
2022-11-09 00:00:00+00:00,-0.01913591
2022-11-10 00:00:00+00:00,-0.03592226
2022-11-11 00:00:00+00:00,0.09467185
2022-11-14 00:00:00+00:00,-0.01418624
2022-11-15 00:00:00+00:00,0.01792155
2022-11-16 00:00:00+00:00,-0.00949024
2022-11-17 00:00:00+00:00,-0.01192089
2022-11-18 00:00:00+00:00,-0.00191917
2022-11-21 00:00:00+00:00,-0.00913895
2022-11-22 00:00:00+00:00,-0.00893623
2022-11-23 00:00:00+00:00,-0.00910828
2022-11-24 00:00:00+00:00,-0.00579108
2022-11-25 00:00:00+00:00,0.00863777
2022-11-28 00:00:00+00:00,-0.02190633
2022-11-29 00:00:00+00:00,0.06986810
2022-11-30 00:00:00+00:00,0.00792739
2022-12-01 00:00:00+00:00,0.01816195
2022-12-02 00:00:00+00:00,-0.01232702
2022-12-05 00:00:00+00:00,0.03075312
2022-12-06 00:00:00+00:00,0.02176593
2022-12-07 00:00:00+00:00,-0.01480507
2022-12-08 00:00:00+00:00,0.02306640
2022-12-09 00:00:00+00:00,0.01891902
2022-12-12 00:00:00+00:00,-0.03266769
2022-12-13 00:00:00+00:00,-0.00730649
2022-12-14 00:00:00+00:00,0.01127318
2022-12-15 00:00:00+00:00,0.00032839
2022-12-16 00:00:00+00:00,-0.00211414
2022-12-19 00:00:00+00:00,-0.00202702
2022-12-20 00:00:00+00:00,-0.05112216
2022-12-21 00:00:00+00:00,0.00611945
2022-12-22 00:00:00+00:00,0.00377499
2022-12-23 00:00:00+00:00,-0.00383335
2022-12-26 00:00:00+00:00,-0.00281859
2022-12-27 00:00:00+00:00,0.03540671
2022-12-28 00:00:00+00:00,-0.00259715
2022-12-29 00:00:00+00:00,-0.01841946
2022-12-30 00:00:00+00:00,0.00919855
2023-01-03 00:00:00+00:00,-0.00021840
2023-01-04 00:00:00+00:00,-0.00876782
2023-01-05 00:00:00+00:00,0.05291012
2023-01-06 00:00:00+00:00,0.01459345
2023-01-09 00:00:00+00:00,0.01879713
2023-01-10 00:00:00+00:00,0.00906352
2023-01-11 00:00:00+00:00,-0.00436199
2023-01-12 00:00:00+00:00,0.01310398
2023-01-13 00:00:00+00:00,0.02599112
2023-01-16 00:00:00+00:00,0.01579069
2023-01-17 00:00:00+00:00,-0.00549498
2023-01-18 00:00:00+00:00,-0.00534355
2023-01-19 00:00:00+00:00,0.00680062
2023-01-20 00:00:00+00:00,0.00848354
2023-01-23 00:00:00+00:00,0.03057220
2023-01-24 00:00:00+00:00,0.00170285
2023-01-25 00:00:00+00:00,0.00688837
2023-01-26 00:00:00+00:00,0.02227677
2023-01-27 00:00:00+00:00,-0.00203016
2023-01-30 00:00:00+00:00,-0.03996940
2023-01-31 00:00:00+00:00,-0.01352211
2023-02-01 00:00:00+00:00,0.00774873
2023-02-02 00:00:00+00:00,-0.00435474
2023-02-03 00:00:00+00:00,-0.03295978
2023-02-06 00:00:00+00:00,-0.04358260
2023-02-07 00:00:00+00:00,0.01138314
2023-02-08 00:00:00+00:00,-0.00739103
2023-02-09 00:00:00+00:00,0.02618621
2023-02-10 00:00:00+00:00,-0.01624828
2023-02-13 00:00:00+00:00,0.01854431
2023-02-14 00:00:00+00:00,-0.00169444
2023-02-15 00:00:00+00:00,-0.00619742
2023-02-16 00:00:00+00:00,-0.00701429
2023-02-17 00:00:00+00:00,-0.02039333
2023-02-20 00:00:00+00:00,0.02645298
2023-02-21 00:00:00+00:00,-0.00414494
2023-02-22 00:00:00+00:00,-0.02808354
2023-02-23 00:00:00+00:00,0.00922164
2023-02-24 00:00:00+00:00,-0.02360338
2023-02-27 00:00:00+00:00,-0.01301151
2023-02-28 00:00:00+00:00,-0.00040829
2023-03-01 00:00:00+00:00,0.03754675
2023-03-02 00:00:00+00:00,-0.00444484
2023-03-03 00:00:00+00:00,-0.00577455
2023-03-06 00:00:00+00:00,-0.01109424
2023-03-07 00:00:00+00:00,-0.01975717
2023-03-08 00:00:00+00:00,-0.02435133
2023-03-09 00:00:00+00:00,-0.01384894
2023-03-10 00:00:00+00:00,-0.01741237
2023-03-13 00:00:00+00:00,0.01257619
2023-03-14 00:00:00+00:00,-0.01021543
2023-03-15 00:00:00+00:00,0.00115154
2023-03-16 00:00:00+00:00,-0.01465551
2023-03-17 00:00:00+00:00,-0.00012386
2023-03-20 00:00:00+00:00,-0.00348654
2023-03-21 00:00:00+00:00,0.00548385
2023-03-22 00:00:00+00:00,0.00846453
2023-03-23 00:00:00+00:00,0.01699539
2023-03-24 00:00:00+00:00,-0.00643671
2023-03-27 00:00:00+00:00,-0.01395853
2023-03-28 00:00:00+00:00,0.00226074
2023-03-29 00:00:00+00:00,0.00428549
2023-03-30 00:00:00+00:00,0.02964883
2023-03-31 00:00:00+00:00,-0.00167816
2023-04-03 00:00:00+00:00,-0.01029129
2023-04-04 00:00:00+00:00,-0.00086968
2023-04-05 00:00:00+00:00,0.01125599
2023-04-06 00:00:00+00:00,-0.01617767
2023-04-07 00:00:00+00:00,0.00451811
2023-04-10 00:00:00+00:00,0.00959364
2023-04-11 00:00:00+00:00,-0.00413758
2023-04-12 00:00:00+00:00,-0.01432606
2023-04-13 00:00:00+00:00,0.00269338
2023-04-14 00:00:00+00:00,0.00689116
2023-04-17 00:00:00+00:00,0.01507087
2023-04-18 00:00:00+00:00,0.00847265
2023-04-19 00:00:00+00:00,-0.02212024
2023-04-20 00:00:00+00:00,-0.02722975
2023-04-21 00:00:00+00:00,-0.03073599
2023-04-24 00:00:00+00:00,-0.02407709
2023-04-25 00:00:00+00:00,-0.01041196
2023-04-26 00:00:00+00:00,0.00957628
2023-04-27 00:00:00+00:00,0.02060947
2023-04-28 00:00:00+00:00,0.00180473
2023-05-01 00:00:00+00:00,0.01117590
2023-05-02 00:00:00+00:00,-0.01808171
2023-05-03 00:00:00+00:00,-0.00956225
2023-05-04 00:00:00+00:00,0.01959955
2023-05-05 00:00:00+00:00,-0.00756773
2023-05-08 00:00:00+00:00,0.01994759
2023-05-09 00:00:00+00:00,-0.01184826
2023-05-10 00:00:00+00:00,-0.01330586
2023-05-11 00:00:00+00:00,0.00386060
2023-05-12 00:00:00+00:00,-0.03644597
2023-05-15 00:00:00+00:00,0.03009380
2023-05-16 00:00:00+00:00,-0.00351090
2023-05-17 00:00:00+00:00,-0.01597604
2023-05-18 00:00:00+00:00,0.00089987
2023-05-19 00:00:00+00:00,-0.00214263
2023-05-22 00:00:00+00:00,0.00718882
2023-05-23 00:00:00+00:00,-0.04790665
2023-05-24 00:00:00+00:00,-0.02118123
2023-05-25 00:00:00+00:00,-0.01460649
2023-05-26 00:00:00+00:00,-0.00308486
2023-05-29 00:00:00+00:00,-0.01886782
2023-05-30 00:00:00+00:00,-0.00459956
2023-05-31 00:00:00+00:00,-0.02510640
2023-06-01 00:00:00+00:00,0.00806552
2023-06-02 00:00:00+00:00,0.04069974
2023-06-05 00:00:00+00:00,-0.02012591
2023-06-06 00:00:00+00:00,-0.01004084
2023-06-07 00:00:00+00:00,-0.01405860
2023-06-08 00:00:00+00:00,0.01795734
2023-06-09 00:00:00+00:00,0.01452205
2023-06-12 00:00:00+00:00,-0.00015154
2023-06-13 00:00:00+00:00,0.01215517
2023-06-14 00:00:00+00:00,0.00268624
2023-06-15 00:00:00+00:00,0.02003664
2023-06-16 00:00:00+00:00,0.00776970
2023-06-19 00:00:00+00:00,0.01211283
2023-06-20 00:00:00+00:00,-0.02315691
2023-06-21 00:00:00+00:00,-0.02139389
2023-06-22 00:00:00+00:00,-0.00980406
2023-06-23 00:00:00+00:00,-1.00797069
2023-06-26 00:00:00+00:00,0.99755710
2023-06-27 00:00:00+00:00,0.02029504
2023-06-28 00:00:00+00:00,-0.00193117
2023-06-29 00:00:00+00:00,-0.02041491
2023-06-30 00:00:00+00:00,-0.99536002
2023-07-03 00:00:00+00:00,1.03307116
2023-07-04 00:00:00+00:00,0.00238503
2023-07-05 00:00:00+00:00,-0.01868000
2023-07-06 00:00:00+00:00,-0.01954648
2023-07-07 00:00:00+00:00,-0.01088853
2023-07-10 00:00:00+00:00,0.02701221
2023-07-11 00:00:00+00:00,0.00526556
2023-07-12 00:00:00+00:00,0.00819841
2023-07-13 00:00:00+00:00,0.02800963
2023-07-14 00:00:00+00:00,-0.00092608
2023-07-17 00:00:00+00:00,-0.00092109
2023-07-18 00:00:00+00:00,-0.01943089
2023-07-19 00:00:00+00:00,-0.00530927
2023-07-20 00:00:00+00:00,-0.00025335
2023-07-21 00:00:00+00:00,-0.00083366
2023-07-24 00:00:00+00:00,-0.01762756
2023-07-25 00:00:00+00:00,0.07248861
2023-07-26 00:00:00+00:00,-0.00927501
2023-07-27 00:00:00+00:00,-0.00006083
2023-07-28 00:00:00+00:00,0.04432224
2023-07-31 00:00:00+00:00,0.00675480
2023-08-01 00:00:00+00:00,-0.00927395
2023-08-02 00:00:00+00:00,-0.01716516
2023-08-03 00:00:00+00:00,0.01577370
2023-08-04 00:00:00+00:00,0.01565019
2023-08-07 00:00:00+00:00,-0.01558934
2023-08-08 00:00:00+00:00,-0.00530183
2023-08-09 00:00:00+00:00,0.00743709
2023-08-10 00:00:00+00:00,-0.00687950
2023-08-11 00:00:00+00:00,-0.04532941
2023-08-14 00:00:00+00:00,-0.01127169
2023-08-15 00:00:00+00:00,-0.00393049
2023-08-16 00:00:00+00:00,-0.00627923
2023-08-17 00:00:00+00:00,0.00239320
2023-08-18 00:00:00+00:00,-0.01157257
2023-08-21 00:00:00+00:00,-0.05811508
2023-08-22 00:00:00+00:00,0.01156512
2023-08-23 00:00:00+00:00,-0.02386258
2023-08-24 00:00:00+00:00,0.02333034
2023-08-25 00:00:00+00:00,-0.00454038
2023-08-28 00:00:00+00:00,0.01320691
2023-08-29 00:00:00+00:00,0.00604834
2023-08-30 00:00:00+00:00,-0.00015228
2023-08-31 00:00:00+00:00,-0.00161947
2023-09-01 00:00:00+00:00,-0.00015122
2023-09-04 00:00:00+00:00,0.02159643
2023-09-05 00:00:00+00:00,-0.00868444
2023-09-06 00:00:00+00:00,-0.00295637
2023-09-07 00:00:00+00:00,-0.01673423
2023-09-08 00:00:00+00:00,-0.00015197
2023-09-11 00:00:00+00:00,0.00201774
2023-09-12 00:00:00+00:00,-0.00556393
2023-09-13 00:00:00+00:00,-0.00529644
2023-09-14 00:00:00+00:00,-0.00224028
2023-09-15 00:00:00+00:00,-0.00682847
2023-09-18 00:00:00+00:00,0.01248864
2023-09-19 00:00:00+00:00,0.00233065
2023-09-20 00:00:00+00:00,-0.00890614
2023-09-21 00:00:00+00:00,-0.02412185
2023-09-22 00:00:00+00:00,0.03298359
2023-09-25 00:00:00+00:00,-0.02405866
2023-09-26 00:00:00+00:00,-0.01071275
2023-09-27 00:00:00+00:00,-0.00085897
2023-09-28 00:00:00+00:00,-0.01627543
2023-09-29 00:00:00+00:00,0.03368416
2023-10-02 00:00:00+00:00,-0.00015795
2023-10-03 00:00:00+00:00,-0.04655144
2023-10-04 00:00:00+00:00,-0.01734710
2023-10-05 00:00:00+00:00,0.00538003
2023-10-06 00:00:00+00:00,0.01662375
2023-10-09 00:00:00+00:00,-0.00218769
2023-10-10 00:00:00+00:00,0.00268555
2023-10-11 00:00:00+00:00,-0.00837179
2023-10-12 00:00:00+00:00,0.01745130
2023-10-13 00:00:00+00:00,-0.03154707
2023-10-16 00:00:00+00:00,-0.01984651
2023-10-17 00:00:00+00:00,0.00481125
2023-10-18 00:00:00+00:00,-0.01214065
2023-10-19 00:00:00+00:00,-0.04721326
2023-10-20 00:00:00+00:00,-0.01164338
2023-10-23 00:00:00+00:00,-0.02561220
2023-10-24 00:00:00+00:00,0.00125080
2023-10-25 00:00:00+00:00,0.01694873
2023-10-26 00:00:00+00:00,0.00907328
2023-10-27 00:00:00+00:00,0.02431300
2023-10-30 00:00:00+00:00,0.01725980
2023-10-31 00:00:00+00:00,-0.01407912
2023-11-01 00:00:00+00:00,-0.00405646
2023-11-02 00:00:00+00:00,-0.00290329
2023-11-03 00:00:00+00:00,0.00914667
2023-11-06 00:00:00+00:00,0.03509920
2023-11-07 00:00:00+00:00,-0.01029037
2023-11-08 00:00:00+00:00,-0.01189930
2023-11-09 00:00:00+00:00,-0.00047003
2023-11-10 00:00:00+00:00,-0.01854880
2023-11-13 00:00:00+00:00,0.00564705
2023-11-14 00:00:00+00:00,-0.01131065
2023-11-15 00:00:00+00:00,0.01052358
2023-11-16 00:00:00+00:00,-0.01165891
2023-11-17 00:00:00+00:00,-0.00015003
2023-11-20 00:00:00+00:00,0.00291929
2023-11-21 00:00:00+00:00,-0.00047401
2023-11-22 00:00:00+00:00,-0.01749828
2023-11-23 00:00:00+00:00,0.01605325
2023-11-24 00:00:00+00:00,-0.02639437
2023-11-27 00:00:00+00:00,-0.00572990
2023-11-28 00:00:00+00:00,-0.01165578
2023-11-29 00:00:00+00:00,-0.01690916
2023-11-30 00:00:00+00:00,0.00300542
2023-12-01 00:00:00+00:00,-0.01561060
2023-12-04 00:00:00+00:00,-0.01057586
2023-12-05 00:00:00+00:00,-0.03874924
2023-12-06 00:00:00+00:00,0.00411532
2023-12-07 00:00:00+00:00,-0.00509227
2023-12-08 00:00:00+00:00,0.00692731
2023-12-11 00:00:00+00:00,0.01216883
2023-12-12 00:00:00+00:00,-0.00037937
2023-12-13 00:00:00+00:00,-0.01662777
2023-12-14 00:00:00+00:00,-0.00478908
2023-12-15 00:00:00+00:00,-0.00253717
2023-12-18 00:00:00+00:00,-0.02613277
2023-12-19 00:00:00+00:00,0.00896875
2023-12-20 00:00:00+00:00,-0.01607424
2023-12-21 00:00:00+00:00,0.02459508
2023-12-22 00:00:00+00:00,-0.00241970
2023-12-25 00:00:00+00:00,0.00834390
2023-12-26 00:00:00+00:00,-0.01392057
2023-12-27 00:00:00+00:00,0.00473074
2023-12-28 00:00:00+00:00,0.05561356
2023-12-29 00:00:00+00:00,0.00017589
2024-01-02 00:00:00+00:00,-0.01789435
2024-01-03 00:00:00+00:00,-0.00452609
2024-01-04 00:00:00+00:00,-0.01085650
2024-01-05 00:00:00+00:00,-0.00276985
2024-01-08 00:00:00+00:00,-0.06696860
2024-01-09 00:00:00+00:00,0.00054018
2024-01-10 00:00:00+00:00,0.00379328
2024-01-11 00:00:00+00:00,0.00586543
2024-01-12 00:00:00+00:00,-0.00731464
2024-01-15 00:00:00+00:00,-0.00838334
2024-01-16 00:00:00+00:00,0.01183372
2024-01-17 00:00:00+00:00,-0.05603270
2024-01-18 00:00:00+00:00,0.02828325
2024-01-19 00:00:00+00:00,0.02248101
2024-01-22 00:00:00+00:00,-0.02949232
2024-01-23 00:00:00+00:00,0.00255249
2024-01-24 00:00:00+00:00,0.05485779
2024-01-25 00:00:00+00:00,0.01666189
2024-01-26 00:00:00+00:00,-0.01127405
2024-01-29 00:00:00+00:00,-0.02513533
2024-01-30 00:00:00+00:00,-0.04036341
2024-01-31 00:00:00+00:00,-0.00781957
2024-02-01 00:00:00+00:00,0.00812832
2024-02-02 00:00:00+00:00,-0.02100633
2024-02-05 00:00:00+00:00,0.02162427
2024-02-06 00:00:00+00:00,0.07433195
2024-02-07 00:00:00+00:00,0.01084914
2024-02-08 00:00:00+00:00,0.00627237
2024-02-09 00:00:00+00:00,-0.00486281
2024-02-12 00:00:00+00:00,0.00286995
2024-02-13 00:00:00+00:00,0.01508524
2024-02-14 00:00:00+00:00,-0.01831110
2024-02-15 00:00:00+00:00,0.00796242
2024-02-16 00:00:00+00:00,0.03318484
2024-02-19 00:00:00+00:00,-0.01804662
2024-02-20 00:00:00+00:00,0.01232365
2024-02-21 00:00:00+00:00,0.03550676
2024-02-22 00:00:00+00:00,0.02247458
2024-02-23 00:00:00+00:00,-0.00811756
2024-02-26 00:00:00+00:00,-0.03181151
2024-02-27 00:00:00+00:00,0.02936895
2024-02-28 00:00:00+00:00,-0.02448795
2024-02-29 00:00:00+00:00,0.01802264
2024-03-01 00:00:00+00:00,0.01915918
2024-03-04 00:00:00+00:00,0.00220842
2024-03-05 00:00:00+00:00,0.01969446
2024-03-06 00:00:00+00:00,-0.00291775
2024-03-07 00:00:00+00:00,-0.00601017
2024-03-08 00:00:00+00:00,0.00571643
2024-03-11 00:00:00+00:00,0.05053115
2024-03-12 00:00:00+00:00,0.01188264
2024-03-13 00:00:00+00:00,-0.01903704
2024-03-14 00:00:00+00:00,-0.00380216
2024-03-15 00:00:00+00:00,-0.00453819
2024-03-18 00:00:00+00:00,0.00931201
2024-03-19 00:00:00+00:00,-0.00767309
2024-03-20 00:00:00+00:00,0.00077615
2024-03-21 00:00:00+00:00,-0.00067212
2024-03-22 00:00:00+00:00,-0.01442721
2024-03-25 00:00:00+00:00,-0.00182158
2024-03-26 00:00:00+00:00,0.01631727
2024-03-27 00:00:00+00:00,-0.02528657
2024-03-28 00:00:00+00:00,0.01136737
2024-03-29 00:00:00+00:00,0.00015782
